x,y,z,run_time,distance,delta6,delta3,joint1,joint2,joint3,joint4,joint5,joint6
-0.022657695,-0.108250938,0.165944728,1.1,0.023506504,3.302539463,0.105091819,0.011183705,0.013514201,0.080393913,3.120365689,0.067740691,0.009341264
-0.023636698,-0.120185795,0.173162472,1.1,0.041063415,3.738493637,0.22667145,0.016325597,0.037856349,0.172489503,3.477371677,0.025317916,0.009132594
-0.025505258,-0.108602178,0.157309998,1.100000001,0.013931298,3.463442622,0.120017457,0.004262941,0.052423236,0.06333128,3.313267587,0.017644899,0.012512679
-0.022600594,-0.132060384,0.168806884,1.100000001,0.013697296,0.319316004,0.063091402,0.002271421,0.004917621,0.05590236,0.239944133,0.006545503,0.009734965
-0.012364792,-0.108540267,0.151418306,1.100000001,0.013697296,0.319316004,0.063091402,0.002271421,0.004917621,0.05590236,0.239944133,0.006545503,0.009734965
-0.03260351,-0.099026538,0.144208597,1.25,0.067282208,6.090295978,0.250834619,0.002899205,0.247276899,0.000658515,5.832544453,0.001479195,0.00543771
-0.049931111,-0.135002385,0.156085971,1.1,0.035766029,2.823837902,0.464060084,0.023812789,0.318866712,0.121380583,2.302249432,0.043318467,0.014209919
-0.028446627,-0.099416908,0.145595126,1.15,0.013697296,9.376325059,0.253068066,0.011662465,0.122514812,0.118890789,9.051439586,0.063247436,0.008569972
-0.02373777,-0.100804528,0.136920242,1.2,0.012807717,2.689577965,0.14176899,0.024669619,0.09703178,0.020067591,2.530445334,0.01358891,0.003774731
-0.003222146,-0.096202427,0.152984969,1.1,0.05534268,5.316374102,0.365551861,0.01264323,0.183015729,0.169892901,4.884039165,0.058527689,0.008255388
-0.033764364,-0.112373584,0.109305757,1.149999999,0.068477566,2.778825742,0.520254301,0.039746433,0.392844065,0.087663803,2.229248512,0.027228856,0.002094074
-0.035460208,-0.141286571,0.200003087,1.1,0.04716922,1.274546133,0.102227406,0.010001289,0.063968868,0.028257249,1.062038804,0.090528848,0.019751075
-0.034177881,-0.125992931,0.186582586,1.25,0.076413685,8.994953463,0.168746209,0.03494492,0.039283785,0.094517504,8.792827355,0.010549575,0.022830324
-0.029901673,-0.130422273,0.204895447,1.2,0.077816727,4.463641237,0.523301081,0.007922601,0.305339156,0.210039324,3.855016687,0.072070213,0.013253257
-0.019558698,-0.108375923,0.144328618,1.1,0.074053825,4.540141917,0.533733933,0.013222239,0.366324512,0.154187183,3.939444932,0.051734629,0.015228422
